Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa80018c6040 System                    4      0     68      484 ------      0 2020-12-07 07:21:18 UTC+0000                                 
0xfffffa80030748c0 smss.exe                220      4      2       29 ------      0 2020-12-07 07:21:18 UTC+0000                                 
0xfffffa8002871b30 csrss.exe               296    288      8      316      0      0 2020-12-07 07:21:19 UTC+0000                                 
0xfffffa80033e17c0 wininit.exe             344    288      3       72      0      0 2020-12-07 07:21:19 UTC+0000                                 
0xfffffa80033e6060 csrss.exe               352    336      7      179      1      0 2020-12-07 07:21:19 UTC+0000                                 
0xfffffa8003415060 winlogon.exe            392    336      3      113      1      0 2020-12-07 07:21:19 UTC+0000                                 
0xfffffa800328eb30 services.exe            436    344      6      176      0      0 2020-12-07 07:21:20 UTC+0000                                 
0xfffffa80027cc3d0 lsass.exe               444    344      6      518      0      0 2020-12-07 07:21:20 UTC+0000                                 
0xfffffa8003191b30 lsm.exe                 452    344      9      136      0      0 2020-12-07 07:21:20 UTC+0000                                 
0xfffffa8003542580 svchost.exe             556    436      9      343      0      0 2020-12-07 07:21:20 UTC+0000                                 
0xfffffa8003546b30 svchost.exe             624    436      7      231      0      0 2020-12-07 07:21:20 UTC+0000                                 
0xfffffa8003587b30 svchost.exe             676    436     20      430      0      0 2020-12-07 07:21:20 UTC+0000                                 
0xfffffa80035de530 svchost.exe             784    436     18      422      0      0 2020-12-07 07:21:20 UTC+0000                                 
0xfffffa80035ebb30 svchost.exe             844    436     33      926      0      0 2020-12-07 07:21:20 UTC+0000                                 
0xfffffa8003648b30 svchost.exe             984    436      9      262      0      0 2020-12-07 07:21:20 UTC+0000                                 
0xfffffa80036754a0 svchost.exe             260    436     14      368      0      0 2020-12-07 07:21:20 UTC+0000                                 
0xfffffa8003688b30 spoolsv.exe             888    436     12      280      0      0 2020-12-07 07:21:20 UTC+0000                                 
0xfffffa80036f5710 svchost.exe            1028    436     17      310      0      0 2020-12-07 07:21:20 UTC+0000                                 
0xfffffa800372db30 svchost.exe            1168    436     14      226      0      0 2020-12-07 07:21:21 UTC+0000                                 
0xfffffa80037516b0 taskhost.exe           1184    436      8      152      1      0 2020-12-07 07:21:21 UTC+0000                                 
0xfffffa80037b2910 dwm.exe                1300    784      3       69      1      0 2020-12-07 07:21:21 UTC+0000                                 
0xfffffa80037b5980 explorer.exe           1316   1288     26      706      1      0 2020-12-07 07:21:21 UTC+0000                                 
0xfffffa800382b060 regsvr32.exe           1464   1316      0 --------      1      0 2020-12-07 07:21:21 UTC+0000   2020-12-07 07:21:22 UTC+0000  
0xfffffa80039ac390 SearchIndexer.         1572    436     11      652      0      0 2020-12-07 07:21:28 UTC+0000                                 
0xfffffa80034c1230 sppsvc.exe             2520    436      4      141      0      0 2020-12-07 07:23:22 UTC+0000                                 
0xfffffa8003441060 svchost.exe            2556    436     12      313      0      0 2020-12-07 07:23:22 UTC+0000                                 
0xfffffa8001a55060 WmiPrvSE.exe           1976    556      8      115      0      0 2020-12-07 07:25:21 UTC+0000                                 
0xfffffa800362eb30 SearchProtocol         1740   1572      8      276      0      0 2020-12-07 07:26:54 UTC+0000                                 
0xfffffa8001a4db30 SearchFilterHo         2092   1572      5       96      0      0 2020-12-07 07:26:54 UTC+0000                                 
